,carat,cut,color,clarity,depth,table,price,x,y,z
52496,0.51,Ideal,F,IF,62.4,55,2524,5.11,5.14,3.2
18666,1.54,Premium,I,SI2,61.2,58,7631,7.51,7.43,4.57
16380,0.29,Very Good,E,VVS1,59.5,61,609,4.29,4.31,2.56
25345,1.7,Premium,H,VS2,62.4,59,14058,7.63,7.54,4.73
33716,0.33,Ideal,H,IF,61.4,54,838,4.47,4.49,2.75
39742,0.39,Premium,F,VS1,60.6,55,1092,4.77,4.73,2.88
42974,0.41,Ideal,G,IF,61.7,56,1367,4.77,4.8,2.95
17679,1.01,Good,E,VS1,63.8,60,7127,6.25,6.23,3.98
26713,0.32,Ideal,F,VS2,61.5,56,645,4.4,4.42,2.71
41895,0.56,Very Good,E,SI2,63.5,57,1259,5.24,5.21,3.32
10772,1.01,Very Good,H,SI1,61.8,60,4855,6.38,6.44,3.96
51038,0.75,Premium,H,SI1,60.2,59,2329,5.92,5.88,3.55
45137,0.56,Premium,E,SI1,62.5,59,1653,5.24,5.2,3.26
23075,1.52,Premium,H,VS2,59.4,59,11105,7.45,7.49,4.44
47433,0.65,Premium,F,VS2,59,62,1853,5.68,5.65,3.34
13358,0.24,Very Good,E,VS2,61.5,58,419,4.02,4.05,2.48
22137,1.2,Premium,G,IF,59.4,61,10169,6.95,6.92,4.12
3764,1.05,Premium,J,SI2,60.9,60,3457,6.59,6.51,3.99
16323,1.08,Premium,G,VS2,60.1,59,6532,6.7,6.64,4.01
26478,2,Very Good,E,SI2,62.9,56,16064,7.94,8,5.01
12300,1.09,Premium,H,SI1,61.6,57,5219,6.63,6.59,4.07
36374,0.32,Ideal,G,IF,61.9,56,940,4.39,4.46,2.74
14633,1.11,Premium,E,SI1,61.3,58,5908,6.66,6.61,4.07
20562,1.55,Very Good,G,SI2,61.9,60,8873,7.31,7.36,4.54
45388,0.55,Very Good,G,VS1,59.4,62,1667,5.32,5.36,3.17
5186,0.9,Good,G,SI1,63.8,61,3774,6.09,6.05,3.87
6459,1.01,Very Good,H,SI1,62.5,58,4052,6.37,6.42,4
40969,0.51,Good,D,SI2,63.9,55,1180,5.04,5.1,3.24
17307,1.29,Premium,D,SI2,59.4,62,6935,7.06,6.99,4.17
2310,0.7,Ideal,G,VVS1,62.8,57,3165,5.63,5.68,3.55
19467,1.77,Good,J,SI2,63.4,60,8109,7.61,7.65,4.84
23647,1.67,Ideal,H,SI1,61.6,55,11678,7.68,7.62,4.71
21084,1.41,Good,H,VS2,63.8,60,9254,7.12,7.04,4.52
4917,0.92,Premium,I,VS1,61.4,58,3725,6.23,6.27,3.84
13032,0.41,Good,G,I1,63.8,56,600,4.74,4.7,3.01
13734,0.28,Very Good,E,VVS2,60.2,58,604,4.24,4.27,2.56
40151,0.35,Ideal,E,VVS1,60.7,57,1116,4.57,4.53,2.76
13847,1.01,Premium,D,SI1,61.5,61,5644,6.47,6.37,3.95
44656,0.35,Good,D,SI2,63.3,55,522,4.45,4.49,2.83
37111,0.4,Premium,H,SI1,61.9,57,969,4.75,4.71,2.93
1247,0.85,Good,G,SI1,64.9,56,2945,5.95,5.98,3.87
53030,0.72,Ideal,I,VVS2,61,57,2602,5.81,5.84,3.55
27200,2.14,Premium,G,SI2,60.4,59,17513,8.32,8.38,5.04
6964,1,Very Good,I,SI1,63.1,58,4149,6.3,6.35,3.99
18403,1.59,Premium,I,VS2,62,58,7479,7.44,7.39,4.6
31321,0.36,Premium,I,IF,59.9,59,758,4.58,4.63,2.76
22712,1.53,Premium,I,VS1,62.4,59,10729,7.3,7.34,4.57
52691,0.74,Premium,G,SI1,61,60,2553,5.85,5.76,3.54
26483,1.75,Very Good,G,VS2,62.8,59,16073,7.53,7.62,4.76
22608,1.53,Premium,H,SI1,61,61,10659,7.45,7.4,4.53
34294,0.43,Ideal,H,VS2,60.7,55,857,4.96,4.89,2.99
36618,0.32,Ideal,D,SI2,59.8,57,477,4.4,4.46,2.65
16260,1.01,Ideal,G,VS1,62,57,6504,6.44,6.36,3.97
28374,0.34,Ideal,I,IF,62.2,53.5,668,4.5,4.52,2.8
38925,0.51,Premium,G,SI2,60.8,59,1052,5.2,5.19,3.16
43162,0.42,Ideal,F,VVS1,61.3,56,1389,4.83,4.82,2.96
22121,1.51,Ideal,E,SI2,62.6,53,10147,7.4,7.32,4.61
45635,0.25,Very Good,G,VVS1,63,54,525,4.02,4.04,2.54
12843,1.06,Ideal,F,SI2,61.8,56,5354,6.56,6.51,4.04
19525,1.02,Ideal,F,VS1,62.6,54,8157,6.45,6.41,4.02
18046,0.3,Very Good,E,VS2,62.6,62,614,4.21,4.25,2.65
8018,1.04,Premium,D,SI2,58.2,59,4330,6.67,6.62,3.87
48194,0.53,Premium,E,VS2,59.9,61,1946,5.3,5.25,3.16
9817,1.09,Ideal,G,SI2,62.1,56,4670,6.66,6.59,4.12
14585,0.92,Ideal,H,VVS1,62.1,54,5886,6.26,6.23,3.88
50458,0.7,Good,F,SI1,58.7,61,2264,5.77,5.81,3.4
52549,0.81,Premium,H,SI2,62.2,56,2534,5.98,5.92,3.7
20402,1.31,Premium,E,SI1,62.4,58,8767,7.03,6.95,4.36
43316,0.38,Ideal,E,IF,61.4,55,1402,4.68,4.74,2.89
45853,0.56,Ideal,H,VS1,61.1,57,1715,5.31,5.34,3.25
36644,0.43,Premium,F,SI1,61.7,58,948,4.84,4.82,2.98
48225,0.57,Ideal,E,VS2,61.8,55,1949,5.38,5.34,3.31
36399,0.31,Ideal,E,VS1,60.9,57,942,4.41,4.39,2.68
17929,1.01,Premium,E,VS2,58,61,7240,6.53,6.5,3.94
5806,1.02,Good,D,SI2,63.8,59,3909,6.43,6.33,4.07
40289,0.27,Ideal,H,VVS2,61.9,55,496,4.14,4.16,2.57
4054,0.35,Ideal,H,VS2,61.2,56,571,4.53,4.56,2.78
45041,0.54,Very Good,F,VS2,60.9,55,1639,5.25,5.31,3.21
52942,0.7,Very Good,F,VS2,61.6,60,2593,5.63,5.71,3.49
31963,0.43,Premium,H,I1,62,59,452,4.78,4.83,2.98
12655,1,Premium,E,SI1,60.5,59,5299,6.4,6.45,3.89
6479,1.11,Fair,J,SI2,64.8,55.1,4056,6.44,6.55,4.21
2960,0.7,Fair,D,VVS2,58.5,62,3296,5.72,5.81,3.37
47335,0.23,Very Good,E,VVS1,60,59,530,3.97,4.03,2.4
47991,0.32,Good,F,SI1,63.2,55,533,4.37,4.4,2.77
19540,1,Very Good,F,VVS2,63.2,56,8172,6.35,6.3,4
51962,0.3,Ideal,G,VS2,61.6,57,545,4.3,4.33,2.66
50827,0.67,Very Good,G,VS1,59.9,57.4,2309,5.69,5.75,3.42
6195,0.9,Very Good,D,SI1,62.5,63,3997,6.14,6.11,3.83
8088,1.01,Good,F,SI1,63.4,55,4339,6.35,6.42,4.05
43219,0.5,Good,E,VS2,64.1,58,1397,5.03,5.01,3.22
26522,1.98,Premium,I,VS1,62.5,58,16171,7.95,7.99,4.98
53677,0.71,Premium,E,VS2,62.1,59,2711,5.68,5.72,3.54
24345,2,Fair,F,SI2,59.8,68,12610,8.13,7.95,4.81
30641,0.36,Ideal,I,IF,62,55,735,4.59,4.61,2.85
53784,0.73,Ideal,E,SI1,62.8,57,2728,5.73,5.74,3.6
8612,0.84,Very Good,D,VS1,60.6,57,4443,6.06,6.15,3.7
97,0.7,Good,F,VS1,59.4,62,2759,5.71,5.76,3.4
23113,1.7,Very Good,H,VVS2,63.2,56,11133,7.59,7.56,4.79
43163,0.42,Premium,F,VVS1,60.5,58,1389,4.84,4.81,2.92
49196,0.55,Ideal,G,VVS1,61.2,56,2077,5.27,5.3,3.24
28573,0.3,Ideal,H,VS1,62.7,55,675,4.3,4.25,2.68
10580,1.16,Premium,F,SI2,61.2,61,4820,6.77,6.74,4.14
39004,0.42,Ideal,G,VS1,61,56,1055,4.86,4.82,2.95
39639,0.49,Premium,G,SI2,59.4,60,1084,5.17,5.14,3.06
50317,1.06,Fair,I,I1,64.5,57,2239,6.47,6.33,4.13
48696,0.54,Ideal,G,VVS1,62.2,53.9,2007,5.22,5.25,3.26
9501,1.13,Premium,I,VS2,62,58,4611,6.64,6.69,4.13
43935,0.31,Ideal,F,SI1,62,55.2,515,4.32,4.35,2.69
8671,1.04,Ideal,G,SI2,61.4,57,4455,6.54,6.48,4
